season,fixture_id,round,date,status,home_team,home_goals,away_goals,away_team
2024,1180541,Regular Season - 19,2024-07-24T22:30:00+00:00,FT,Sao Paulo,2,2,Botafogo
2024,1180537,Regular Season - 19,2024-07-24T23:00:00+00:00,FT,Vitoria,1,2,Flamengo
2024,1180538,Regular Season - 19,2024-07-25T00:30:00+00:00,FT,Fluminense,1,0,Palmeiras
2024,1180543,Regular Season - 19,2024-07-25T00:30:00+00:00,FT,Atletico Goianiense,1,1,Bahia
2024,1180540,Regular Season - 19,2024-07-25T23:00:00+00:00,FT,Corinthians,2,2,Gremio
2024,1180550,Regular Season - 20,2024-07-27T22:00:00+00:00,FT,Palmeiras,0,2,Vitoria
2024,1180554,Regular Season - 20,2024-07-27T22:00:00+00:00,FT,Juventude,1,2,Criciuma
2024,1180547,Regular Season - 20,2024-07-27T23:00:00+00:00,FT,Bahia,1,1,Internacional
2024,1180549,Regular Season - 20,2024-07-28T00:30:00+00:00,FT,Botafogo,0,3,Cruzeiro
2024,1180552,Regular Season - 20,2024-07-28T00:30:00+00:00,FT,Fortaleza EC,1,0,Sao Paulo
2024,1180551,Regular Season - 20,2024-07-28T14:00:00+00:00,FT,RB Bragantino,0,1,Fluminense
2024,1180548,Regular Season - 20,2024-07-28T19:00:00+00:00,FT,Flamengo,2,0,Atletico Goianiense
2024,1180545,Regular Season - 20,2024-07-28T22:00:00+00:00,FT,Gremio,1,0,Vasco DA Gama
2024,1180546,Regular Season - 20,2024-07-28T22:00:00+00:00,FT,Atletico-MG,2,1,Corinthians
2024,1180553,Regular Season - 20,2024-07-28T22:00:00+00:00,FT,Cuiaba,1,2,Atletico Paranaense
2024,1180557,Regular Season - 21,2024-08-03T19:00:00+00:00,FT,Vitoria,1,0,Cuiaba
2024,1180559,Regular Season - 21,2024-08-03T22:00:00+00:00,FT,Vasco DA Gama,2,2,RB Bragantino
2024,1180564,Regular Season - 21,2024-08-03T23:00:00+00:00,FT,Criciuma,2,1,Atletico-MG
2024,1180563,Regular Season - 21,2024-08-03T23:00:00+00:00,FT,Atletico Goianiense,1,4,Botafogo
2024,1180561,Regular Season - 21,2024-08-04T00:30:00+00:00,FT,Sao Paulo,1,0,Flamengo
2024,1180558,Regular Season - 21,2024-08-04T19:00:00+00:00,FT,Fluminense,1,0,Bahia
2024,1180560,Regular Season - 21,2024-08-04T19:00:00+00:00,FT,Corinthians,1,1,Juventude
2024,1180562,Regular Season - 21,2024-08-04T19:00:00+00:00,FT,Atletico Paranaense,0,2,Gremio
2024,1180555,Regular Season - 21,2024-08-04T20:00:00+00:00,FT,Internacional,1,1,Palmeiras
2024,1180556,Regular Season - 21,2024-08-06T00:00:00+00:00,FT,Cruzeiro,1,2,Fortaleza EC
2024,1180572,Regular Season - 22,2024-08-10T19:00:00+00:00,FT,Fortaleza EC,1,0,Criciuma
2024,1180573,Regular Season - 22,2024-08-10T22:00:00+00:00,FT,Cuiaba,1,3,Gremio
2024,1180570,Regular Season - 22,2024-08-11T00:30:00+00:00,FT,Corinthians,1,1,RB Bragantino
2024,1180569,Regular Season - 22,2024-08-11T00:30:00+00:00,FT,Vasco DA Gama,2,0,Fluminense
2024,1180566,Regular Season - 22,2024-08-11T00:30:00+00:00,FT,Cruzeiro,0,0,Atletico-MG
2024,1180574,Regular Season - 22,2024-08-11T14:00:00+00:00,FT,Juventude,3,2,Botafogo
2024,1180567,Regular Season - 22,2024-08-11T19:00:00+00:00,FT,Bahia,2,0,Vitoria
2024,1180571,Regular Season - 22,2024-08-11T19:00:00+00:00,FT,Sao Paulo,1,0,Atletico Goianiense
2024,1180568,Regular Season - 22,2024-08-11T19:00:00+00:00,FT,Flamengo,1,1,Palmeiras
2024,1180565,Regular Season - 22,2024-08-11T22:00:00+00:00,FT,Internacional,2,2,Atletico Paranaense
2024,1180405,Regular Season - 6,2024-08-14T22:30:00+00:00,FT,Internacional,2,1,Juventude
2024,1180575,Regular Season - 23,2024-08-17T19:00:00+00:00,FT,Gremio,0,2,Bahia
2024,1180576,Regular Season - 23,2024-08-17T19:00:00+00:00,FT,Atletico-MG,1,1,Cuiaba
2024,1180581,Regular Season - 23,2024-08-17T21:30:00+00:00,FT,RB Bragantino,1,2,Fortaleza EC
2024,1180578,Regular Season - 23,2024-08-18T00:00:00+00:00,FT,Fluminense,0,0,Corinthians
2024,1180580,Regular Season - 23,2024-08-18T19:00:00+00:00,FT,Palmeiras,2,1,Sao Paulo
2024,1180584,Regular Season - 23,2024-08-18T19:00:00+00:00,FT,Criciuma,2,2,Vasco DA Gama
2024,1180583,Regular Season - 23,2024-08-18T19:00:00+00:00,FT,Atletico Goianiense,1,0,Internacional
2024,1180579,Regular Season - 23,2024-08-18T21:30:00+00:00,FT,Botafogo,4,1,Flamengo
2024,1180582,Regular Season - 23,2024-08-18T21:30:00+00:00,FT,Atletico Paranaense,1,2,Juventude
2024,1180577,Regular Season - 23,2024-08-19T23:00:00+00:00,FT,Vitoria,2,2,Cruzeiro
2024,1180593,Regular Season - 24,2024-08-24T19:00:00+00:00,FT,Atletico Goianiense,2,1,Juventude
2024,1180590,Regular Season - 24,2024-08-24T21:30:00+00:00,FT,Palmeiras,5,0,Cuiaba
2024,1180586,Regular Season - 24,2024-08-25T00:00:00+00:00,FT,Atletico-MG,0,2,Fluminense
2024,1180587,Regular Season - 24,2024-08-25T19:00:00+00:00,FT,Bahia,0,0,Botafogo
2024,1180594,Regular Season - 24,2024-08-25T19:00:00+00:00,FT,Criciuma,0,1,Gremio
2024,1180592,Regular Season - 24,2024-08-25T19:00:00+00:00,FT,Fortaleza EC,1,0,Corinthians
2024,1180591,Regular Season - 24,2024-08-25T21:30:00+00:00,FT,Sao Paulo,2,1,Vitoria
2024,1180585,Regular Season - 24,2024-08-25T22:00:00+00:00,FT,Internacional,1,0,Cruzeiro
2024,1180588,Regular Season - 24,2024-08-25T23:00:00+00:00,FT,Flamengo,2,1,RB Bragantino
